Mod:Item:MetaData, Localized Name
nuclearcraft:depleted_fuel_neptunium:1, Depleted LEN-236 Oxide Fuel
nuclearcraft:depleted_fuel_neptunium:2, Depleted HEN-236 Fuel
nuclearcraft:depleted_fuel_neptunium:3, Depleted HEN-236 Oxide Fuel
nuclearcraft:depleted_fuel_plutonium:0, Depleted LEP-239 Fuel
nuclearcraft:depleted_fuel_plutonium:1, Depleted LEP-239 Oxide Fuel
nuclearcraft:depleted_fuel_plutonium:2, Depleted HEP-239 Fuel
nuclearcraft:depleted_fuel_plutonium:3, Depleted HEP-239 Oxide Fuel
nuclearcraft:depleted_fuel_plutonium:4, Depleted LEP-241 Fuel
nuclearcraft:depleted_fuel_plutonium:5, Depleted LEP-241 Oxide Fuel
nuclearcraft:depleted_fuel_plutonium:6, Depleted HEP-241 Fuel
nuclearcraft:depleted_fuel_plutonium:7, Depleted HEP-241 Oxide Fuel
nuclearcraft:depleted_fuel_mixed_oxide:0, Depleted MOX-239 Fuel
nuclearcraft:depleted_fuel_mixed_oxide:1, Depleted MOX-241 Fuel
nuclearcraft:depleted_fuel_americium:0, Depleted LEA-242 Fuel
nuclearcraft:depleted_fuel_americium:1, Depleted LEA-242 Oxide Fuel
nuclearcraft:depleted_fuel_americium:2, Depleted HEA-242 Fuel
nuclearcraft:depleted_fuel_americium:3, Depleted HEA-242 Oxide Fuel
nuclearcraft:depleted_fuel_curium:0, Depleted LECm-243 Fuel
nuclearcraft:depleted_fuel_curium:1, Depleted LECm-243 Oxide Fuel
nuclearcraft:depleted_fuel_curium:2, Depleted HECm-243 Fuel
nuclearcraft:depleted_fuel_curium:3, Depleted HECm-243 Oxide Fuel
nuclearcraft:depleted_fuel_curium:4, Depleted LECm-245 Fuel
nuclearcraft:depleted_fuel_curium:5, Depleted LECm-245 Oxide Fuel
nuclearcraft:depleted_fuel_curium:6, Depleted HECm-245 Fuel
nuclearcraft:depleted_fuel_curium:7, Depleted HECm-245 Oxide Fuel
nuclearcraft:depleted_fuel_curium:8, Depleted LECm-247 Fuel
nuclearcraft:depleted_fuel_curium:9, Depleted LECm-247 Oxide Fuel
nuclearcraft:depleted_fuel_curium:10, Depleted HECm-247 Fuel
nuclearcraft:depleted_fuel_curium:11, Depleted HECm-247 Oxide Fuel
nuclearcraft:depleted_fuel_berkelium:0, Depleted LEB-248 Fuel
nuclearcraft:depleted_fuel_berkelium:1, Depleted LEB-248 Oxide Fuel
nuclearcraft:depleted_fuel_berkelium:2, Depleted HEB-248 Fuel
nuclearcraft:depleted_fuel_berkelium:3, Depleted HEB-248 Oxide Fuel
nuclearcraft:depleted_fuel_californium:0, Depleted LECf-249 Fuel
nuclearcraft:depleted_fuel_californium:1, Depleted LECf-249 Oxide Fuel
nuclearcraft:depleted_fuel_californium:2, Depleted HECf-249 Fuel
nuclearcraft:depleted_fuel_californium:3, Depleted HECf-249 Oxide Fuel
nuclearcraft:depleted_fuel_californium:4, Depleted LECf-251 Fuel
nuclearcraft:depleted_fuel_californium:5, Depleted LECf-251 Oxide Fuel
nuclearcraft:depleted_fuel_californium:6, Depleted HECf-251 Fuel
nuclearcraft:depleted_fuel_californium:7, Depleted HECf-251 Oxide Fuel
nuclearcraft:depleted_fuel_ic2:0, Depleted Uranium Nuclear Fuel
nuclearcraft:depleted_fuel_ic2:1, Depleted MOX Nuclear Fuel
nuclearcraft:boron:0, Boron-10
nuclearcraft:boron:1, Tiny Clump of Boron-10
nuclearcraft:boron:2, Boron-11
nuclearcraft:boron:3, Tiny Clump of Boron-11
nuclearcraft:lithium:0, Lithium-6
nuclearcraft:lithium:1, Tiny Clump of Lithium-6
nuclearcraft:lithium:2, Lithium-7
nuclearcraft:lithium:3, Tiny Clump of Lithium-7
nuclearcraft:lithium_ion_cell, Lithium Ion Cell
nuclearcraft:geiger_counter, Geiger Counter
nuclearcraft:rad_shielding:0, Light Radiation Shielding
nuclearcraft:rad_shielding:1, Medium Radiation Shielding
nuclearcraft:rad_shielding:2, Heavy Radiation Shielding
nuclearcraft:radiation_badge, Radiation Badge
nuclearcraft:radaway, RadAway
nuclearcraft:radaway_slow, Slow-Acting RadAway
nuclearcraft:rad_x, Rad-X
nuclearcraft:portable_ender_chest, Portable Ender Chest
nuclearcraft:dominos, Domino's Special
nuclearcraft:flour, Flour
nuclearcraft:graham_cracker, Graham Cracker
nuclearcraft:roasted_cocoa_beans, Roasted Cocoa Beans
nuclearcraft:ground_cocoa_nibs, Ground Cocoa Nibs
nuclearcraft:cocoa_butter, Solidified Cocoa Butter
nuclearcraft:cocoa_solids, Cocoa Solids
nuclearcraft:unsweetened_chocolate, Unsweetened Chocolate
nuclearcraft:dark_chocolate, Dark Chocolate
nuclearcraft:milk_chocolate, Milk Chocolate
nuclearcraft:gelatin, Gelatin
nuclearcraft:marshmallow, Marshmallow
nuclearcraft:smore, S'more S'mingot
nuclearcraft:moresmore, MoreS'more DoubleS'mingot
nuclearcraft:foursmore, FourS'more QuadS'mingot
nuclearcraft:record_wanderer, Music Disc
nuclearcraft:record_end_of_the_world, Music Disc
nuclearcraft:record_money_for_nothing, Music Disc
nuclearcraft:record_hyperspace, Music Disc
nuclearcraft:sword_boron, Boron Sword
nuclearcraft:pickaxe_boron, Boron Pickaxe
nuclearcraft:shovel_boron, Boron Shovel
nuclearcraft:axe_boron, Boron Axe
nuclearcraft:hoe_boron, Boron Hoe
nuclearcraft:spaxelhoe_boron, Boron Spaxelhoe
nuclearcraft:sword_tough, Tough Alloy Sword
nuclearcraft:pickaxe_tough, Tough Alloy Pickaxe
nuclearcraft:shovel_tough, Tough Alloy Shovel
nuclearcraft:axe_tough, Tough Alloy Axe
nuclearcraft:hoe_tough, Tough Alloy Hoe
nuclearcraft:spaxelhoe_tough, Tough Alloy Spaxelhoe
nuclearcraft:sword_hard_carbon, Hard Carbon Sword
nuclearcraft:pickaxe_hard_carbon, Hard Carbon Pickaxe
nuclearcraft:shovel_hard_carbon, Hard Carbon Shovel
nuclearcraft:axe_hard_carbon, Hard Carbon Axe
nuclearcraft:hoe_hard_carbon, Hard Carbon Hoe
nuclearcraft:spaxelhoe_hard_carbon, Hard Carbon Spaxelhoe
nuclearcraft:sword_boron_nitride, Boron Nitride Sword
nuclearcraft:pickaxe_boron_nitride, Boron Nitride Pickaxe
nuclearcraft:shovel_boron_nitride, Boron Nitride Shovel
nuclearcraft:axe_boron_nitride, Boron Nitride Axe
nuclearcraft:hoe_boron_nitride, Boron Nitride Hoe
nuclearcraft:spaxelhoe_boron_nitride, Boron Nitride Spaxelhoe
nuclearcraft:helm_boron, Boron Helmet
nuclearcraft:chest_boron, Boron Chestplate
nuclearcraft:legs_boron, Boron Leggings
nuclearcraft:boots_boron, Boron Boots
nuclearcraft:helm_tough, Tough Alloy Helmet
nuclearcraft:chest_tough, Tough Alloy Chestplate
nuclearcraft:legs_tough, Tough Alloy Leggings
nuclearcraft:boots_tough, Tough Alloy Boots
nuclearcraft:helm_hard_carbon, Hard Carbon Helmet
nuclearcraft:chest_hard_carbon, Hard Carbon Chestplate
nuclearcraft:legs_hard_carbon, Hard Carbon Leggings
nuclearcraft:boots_hard_carbon, Hard Carbon Boots
nuclearcraft:helm_boron_nitride, Boron Nitride Helmet
nuclearcraft:chest_boron_nitride, Boron Nitride Chestplate
nuclearcraft:legs_boron_nitride, Boron Nitride Leggings
nuclearcraft:boots_boron_nitride, Boron Nitride Boots
nuclearcraft:helm_hazmat, Hazmat Suit Headwear
nuclearcraft:chest_hazmat, Hazmat Suit Chestpiece
nuclearcraft:legs_hazmat, Hazmat Suit Leggings
nuclearcraft:boots_hazmat, Hazmat Suit Boots
nuclearcraft:fluid_oxygen, Oxygen
nuclearcraft:fluid_hydrogen, Hydrogen
nuclearcraft:fluid_deuterium, Deuterium
nuclearcraft:fluid_tritium, Tritium
nuclearcraft:fluid_helium3, Helium-3
nuclearcraft:fluid_helium, Helium
nuclearcraft:fluid_boron, Molten Boron
nuclearcraft:fluid_boron10, Molten Boron-10
nuclearcraft:fluid_boron11, Molten Boron-11
nuclearcraft:fluid_lithium, Molten Lithium
nuclearcraft:fluid_lithium6, Molten Lithium-6
nuclearcraft:fluid_lithium7, Molten Lithium-7
nuclearcraft:fluid_steel, Molten Steel
nuclearcraft:fluid_ferroboron, Molten Ferroboron
nuclearcraft:fluid_tough, Molten Tough Alloy
nuclearcraft:fluid_hard_carbon, Molten Hard Carbon
nuclearcraft:fluid_coal, Liquefacted Coal
nuclearcraft:fluid_beryllium, Molten Beryllium
nuclearcraft:fluid_manganese, Molten Manganese
nuclearcraft:fluid_manganese_dioxide, Molten Manganese Dioxide
nuclearcraft:fluid_sulfur, Molten Sulfur
nuclearcraft:fluid_arsenic, Molten Arsenic
nuclearcraft:fluid_liquidhelium, Liquid Helium
nuclearcraft:fluid_liquid_nitrogen, Liquid Nitrogen
nuclearcraft:fluid_plasma, Plasma
nuclearcraft:fluid_neutron, Neutron Fluid
nuclearcraft:fluid_ethanol, Ethanol
nuclearcraft:fluid_methanol, Methanol
nuclearcraft:fluid_radaway, RadAway Fluid
nuclearcraft:fluid_radaway_slow, Slow-Acting RadAway Fluid
nuclearcraft:fluid_nitrogen, Nitrogen
nuclearcraft:fluid_fluorine, Fluorine
nuclearcraft:fluid_carbon_dioxide, Carbon Dioxide
nuclearcraft:fluid_carbon_monoxide, Carbon Monoxide
nuclearcraft:fluid_ethene, Ethylene
nuclearcraft:fluid_fluoromethane, Fluoromethane
nuclearcraft:fluid_ammonia, Ammonia
nuclearcraft:fluid_oxygen_difluoride, Oxygen Difluoride
nuclearcraft:fluid_diborane, Diborane
nuclearcraft:fluid_sulfur_dioxide, Sulfur Dioxide
nuclearcraft:fluid_sulfur_trioxide, Sulfur Trioxide
nuclearcraft:fluid_hydrofluoric_acid, Hydrofluoric Acid
nuclearcraft:fluid_boric_acid, Boric Acid
nuclearcraft:fluid_sulfuric_acid, Sulfuric Acid
nuclearcraft:fluid_boron_nitride_solution, Boron Nitride Solution
nuclearcraft:fluid_fluorite_water, Fluorite Water
nuclearcraft:fluid_calcium_sulfate_solution, Calcium Sulfate Solution
nuclearcraft:fluid_sodium_fluoride_solution, Sodium Fluoride Solution
nuclearcraft:fluid_potassium_fluoride_solution, Potassium Fluoride Solution
nuclearcraft:fluid_sodium_hydroxide_solution, Sodium Hydroxide Solution
nuclearcraft:fluid_potassium_hydroxide_solution, Potassium Hydroxide Solution
nuclearcraft:fluid_borax_solution, Borax Solution
nuclearcraft:fluid_corium, Corium
nuclearcraft:fluid_chocolate_liquor, Chocolate Liquor
nuclearcraft:fluid_cocoa_butter, Cocoa Butter
nuclearcraft:fluid_unsweetened_chocolate, Molten Unsweetened Chocolate
nuclearcraft:fluid_dark_chocolate, Molten Dark Chocolate
nuclearcraft:fluid_milk_chocolate, Molten Milk Chocolate
nuclearcraft:fluid_sugar, Molten Sugar
nuclearcraft:fluid_gelatin, Molten Gelatin
nuclearcraft:fluid_hydrated_gelatin, Hydrated Gelatin
nuclearcraft:fluid_marshmallow, Liquid Marshmallow
nuclearcraft:fluid_milk, Milk
nuclearcraft:fluid_lif, Molten Lithium Fluoride
nuclearcraft:fluid_bef2, Molten Beryllium Fluoride
nuclearcraft:fluid_flibe, Molten FLiBe Salt Mixture
nuclearcraft:fluid_naoh, Molten Sodium Hydroxide
nuclearcraft:fluid_koh, Molten Potassium Hydroxide
nuclearcraft:fluid_steam, Steam
nuclearcraft:fluid_high_pressure_steam, High Pressure Steam
nuclearcraft:fluid_exhaust_steam, Exhaust Steam
nuclearcraft:fluid_low_pressure_steam, Low Pressure Steam
nuclearcraft:fluid_low_quality_steam, Low Quality Steam
nuclearcraft:fluid_preheated_water, Preheated Water
nuclearcraft:fluid_condensate_water, Condensate Water
nuclearcraft:fluid_sodium, Molten Sodium
nuclearcraft:fluid_potassium, Molten Potassium
nuclearcraft:fluid_nak, Eutectic NaK Alloy
nuclearcraft:fluid_nak_hot, Hot Eutectic NaK Alloy
nuclearcraft:fluid_bas, Molten Boron Arsenide
nuclearcraft:fluid_sic_vapor, Silicon Carbide Vapor
nuclearcraft:fluid_alugentum, Molten Alugentum
nuclearcraft:fluid_alumina, Molten Alumina
nuclearcraft:fluid_aluminum, Molten Aluminum
nuclearcraft:fluid_silver, Molten Silver
rustic:olive_oil, Olive Oil
rustic:ironberry_juice, Ironberry Juice
rustic:wildberry_juice, Wildberry Juice
rustic:grape_juice, Grape Juice
rustic:apple_juice, Apple Juice
rustic:ale_wort, Ale Wort
rustic:honey, Honey
rustic:stone_pillar, Stone Pillar
rustic:andesite_pillar, Andesite Pillar
rustic:diorite_pillar, Diorite Pillar
rustic:granite_pillar, Granite Pillar
rustic:slate_pillar, Slate Pillar
rustic:chain, Iron Chain
rustic:candle, Iron Candle
rustic:candle_lever, Iron Candle Lever
rustic:chandelier, Iron Chandelier Ring
rustic:chain_gold, Golden Chain
rustic:candle_gold, Golden Candle
rustic:candle_lever_gold, Golden Candle Lever
rustic:chandelier_gold, Golden Chandelier Ring
rustic:chain_silver, Silver Chain
rustic:candle_silver, Silver Candle
rustic:candle_lever_silver, Silver Candle Lever
rustic:chandelier_silver, Silver Chandelier Ring
rustic:beehive, Beehive
rustic:apiary, Apiary
rustic:slate, Slate
rustic:slate_roof, Slate Roof
rustic:slate_tile, Slate Tile
rustic:slate_brick, Slate Brick
rustic:slate_chiseled, Chiseled Slate
rustic:stairs_slate_roof, Slate Roof Stairs
rustic:slate_roof_slab_item, Slate Roof Slab
rustic:stairs_slate_brick, Slate Brick Stairs
rustic:slate_brick_slab_item, Slate Brick Slab
rustic:clay_wall, Clay Wall
rustic:clay_wall_cross, Crossed Clay Wall
rustic:clay_wall_diag, Diagonal Clay Wall
rustic:chair_oak, Oak Chair
rustic:chair_big_oak, Dark Oak Chair
rustic:chair_birch, Birch Chair
rustic:chair_spruce, Spruce Chair
rustic:chair_acacia, Acacia Chair
rustic:chair_jungle, Jungle Chair
rustic:chair_olive, Olive Wood Chair
rustic:chair_ironwood, Ironwood Chair
rustic:table_oak, Oak Table
rustic:table_big_oak, Dark Oak Table
rustic:table_birch, Birch Table
rustic:table_spruce, Spruce Table
rustic:table_acacia, Acacia Table
rustic:table_jungle, Jungle Table
rustic:table_olive, Olive Wood Table
rustic:table_ironwood, Ironwood Table
rustic:vase, Pot
rustic:barrel, Barrel
rustic:iron_lattice, Iron Lattice
rustic:iron_lantern, Iron Lantern
rustic:golden_lantern, Golden Lantern
rustic:silver_lantern, Silver Lantern
rustic:painted_wood_white, White Painted Wood
rustic:painted_wood_orange, Orange Painted Wood
rustic:painted_wood_magenta, Magenta Painted Wood
rustic:painted_wood_light_blue, Light Blue Painted Wood
rustic:painted_wood_yellow, Yellow Painted Wood
rustic:painted_wood_lime, Lime Painted Wood
rustic:painted_wood_pink, Pink Painted Wood
rustic:painted_wood_gray, Gray Painted Wood
rustic:painted_wood_silver, Light Gray Painted Wood
rustic:painted_wood_cyan, Cyan Painted Wood
rustic:painted_wood_purple, Purple Painted Wood
rustic:painted_wood_blue, Blue Painted Wood
rustic:painted_wood_brown, Brown Painted Wood
rustic:painted_wood_green, Green Painted Wood
rustic:painted_wood_red, Red Painted Wood
rustic:painted_wood_black, Black Painted Wood
rustic:gargoyle, Gargoyle
rustic:cabinet, Cabinet
rustic:liquid_barrel, Liquid Barrel
rustic:fertile_soil, Fertile Soil
rustic:planks:0, Olive Wood Planks
rustic:planks:1, Ironwood Planks
rustic:log:0, Olive Wood
rustic:log:1, Ironwood
rustic:leaves:0, Olive Leaves
rustic:leaves:1, Ironwood Leaves
rustic:sapling:0, Olive Sapling
rustic:sapling:1, Ironwood Sapling
rustic:crushing_tub, Crushing Tub
rustic:evaporating_basin, Drying Basin
rustic:fence_olive, Olive Wood Fence
rustic:fence_ironwood, Ironwood Fence
rustic:fence_gate_olive, Olive Wood Fence Gate
rustic:fence_gate_ironwood, Ironwood Fence Gate
rustic:olive_slab_item, Olive Wood Slab
rustic:ironwood_slab_item, Ironwood Slab
rustic:stairs_olive, Olive Wood Stairs
rustic:stairs_ironwood, Ironwood Stairs
rustic:condenser, Alchemic Condenser
rustic:retort, Alchemic Retort
rustic:condenser_advanced, Advanced Alchemic Condenser
rustic:retort_advanced, Advanced Alchemic Retort
rustic:crop_stake, Wooden Stake
rustic:wildberry_bush, Wildberry Bush
rustic:rope, Rope
rustic:grape_stem, Grape Seeds
rustic:brewing_barrel, Brewing Barrel
rustic:apple_seeds, Apple Seeds
rustic:sapling_apple, Apple Sapling
rustic:leaves_apple, Apple Leaves
rustic:olive_door, Olive Door
rustic:ironwood_door, Ironwood Door
rustic:lantern_wood, Wooden Lantern
rustic:aloe_vera, Aloe Vera
rustic:blood_orchid, Blood Orchid
rustic:chamomile, Chamomile
rustic:cohosh, Cohosh
rustic:deathstalk_mushroom, Deathstalk Mushroom
rustic:horsetail, Horsetail
rustic:mooncap_mushroom, Mooncap Mushroom
rustic:wind_thistle, Wind Thistle
rustic:cloudsbluff, Cloudsbluff
rustic:core_root, Core Root
rustic:ginseng, Ginseng Root
rustic:marsh_mallow, Marsh Mallow Root
rustic:book, Almanac
rustic:bee, Bee
rustic:honeycomb, Honeycomb
rustic:beeswax, Beeswax
rustic:tallow, Tallow
rustic:olives, Olives
rustic:ironberries, Ironberries
rustic:fluid_bottle, Bottle of %s
rustic:dust_tiny_iron, Tiny Pile of Iron Dust
rustic:elixir, item.rustic.elixir.name
rustic:tomato, Tomato
rustic:tomato_seeds, Tomato Seeds
rustic:chili_pepper, Chili Pepper
rustic:chili_pepper_seeds, Chili Pepper Seeds
rustic:wildberries, Wildberries
rustic:grapes, Grapes
naturesaura:ancient_log, Ancient Log
naturesaura:ancient_bark, Ancient Bark
naturesaura:ancient_planks, Ancient Planks
naturesaura:ancient_stairs, Ancient Wood Stairs
naturesaura:ancient_slab, Ancient Wood Slab
naturesaura:ancient_slab_double, Ancient Wood Double Slab
naturesaura:ancient_leaves, Ancient Leaves
naturesaura:ancient_sapling, Ancient Sapling
naturesaura:nature_altar, Natural Altar
naturesaura:decayed_leaves, Decayed Leaves
naturesaura:golden_leaves, Golden Leaves
naturesaura:gold_powder, Gold Powder
naturesaura:wood_stand, Wooden Stand
naturesaura:infused_stone, Infused Rock
naturesaura:infused_stairs, Infused Rock Stairs
naturesaura:infused_slab, Infused Rock Slab
naturesaura:infused_slab_double, Infused Rock Double Slab
naturesaura:infused_brick, Infused Brick
naturesaura:infused_brick_stairs, Infused Brick Stairs
naturesaura:infused_brick_slab, Infused Brick Slab
naturesaura:infused_brick_slab_double, Infused Brick Double Slab
naturesaura:furnace_heater, Extraneous Firestarter
naturesaura:potion_generator, Lingering Absorber
naturesaura:aura_detector, Aura Detector
naturesaura:conversion_catalyst, Transmutation Catalyst
naturesaura:crushing_catalyst, Crumbling Catalyst
naturesaura:flower_generator, Herbivorous Absorber
naturesaura:placer, Imperceptible Builder
naturesaura:hopper_upgrade, Hopper Enhancement
naturesaura:field_creator, Aura Field Creator
naturesaura:oak_generator, Canopy Diminisher
naturesaura:infused_iron_block, Infused Iron Block
naturesaura:offering_table, Offering Table
naturesaura:pickup_stopper, Item Grounder
naturesaura:spawn_lamp, Lamp of Sanctuary
naturesaura:animal_generator, Disentangler of Mortals
naturesaura:end_flower, Rose of Oblivion
naturesaura:grated_chute, Adept Hopper
naturesaura:animal_spawner, Altar of Birthing
naturesaura:auto_crafter, Automatic Constructor
naturesaura:gold_brick, Golden Stone Bricks
naturesaura:rf_converter, Energetic Aura Forge
naturesaura:moss_generator, Swamp Homi
naturesaura:time_changer, Shifting Sundial
naturesaura:generator_limit_remover, Creational Catalyst
naturesaura:ender_crate, Ender Crate
naturesaura:powder_placer, Powder Manipulator
naturesaura:firework_generator, Firecracker Gaze
naturesaura:projectile_generator, Shooting Mark
naturesaura:chunk_loader, World Eye
naturesaura:dimension_rail_overworld, Rail of the Overworld
naturesaura:dimension_rail_nether, Rail of the Nether
naturesaura:dimension_rail_end, Rail of the End
naturesaura:infused_iron_pickaxe, Botanist's Pickaxe
naturesaura:infused_iron_axe, Botanist's Handaxe
naturesaura:infused_iron_shovel, Botanist's Shovel
naturesaura:infused_iron_hoe, Botanist's Hoe
naturesaura:infused_iron_sword, Botanist's Blade
naturesaura:infused_iron_helmet, Botanist's Headwear
naturesaura:infused_iron_chest, Botanist's Chestplate
naturesaura:infused_iron_pants, Botanist's Leggings
naturesaura:infused_iron_shoes, Botanist's Shoes
naturesaura:eye, Environmental Eye
naturesaura:eye_improved, Environmental Ocular
naturesaura:gold_fiber, Brilliant Fiber
naturesaura:gold_leaf, Gold Leaf
naturesaura:infused_iron, Infused Iron
naturesaura:ancient_stick, Ancient Wood Rod
naturesaura:color_changer, Bucket of Infinite Color
naturesaura:aura_cache, Aura Cache
naturesaura:aura_trove, Aura Trove
naturesaura:shockwave_creator, Amulet of Wrath
naturesaura:multiblock_maker, Multiblock Maker
naturesaura:bottle_two_the_rebottling, Bottle and Cork
naturesaura:aura_bottle, item.naturesaura.aura_bottle.name
naturesaura:farming_stencil, Farming Stencil
naturesaura:sky_ingot, Ingot of the Skies
naturesaura:calling_spirit, Spirit of Calling
naturesaura:effect_powder, item.naturesaura.effect_powder.name
naturesaura:birth_spirit, Spirit of Birthing
naturesaura:mover_cart, Aura Attraction Cart
naturesaura:range_visualizer, Mystical Magnifier
naturesaura:clock_hand, Hand of Time
naturesaura:token_joy, Token of Joy
naturesaura:token_fear, Token of Fear
naturesaura:token_anger, Token of Anger
naturesaura:token_sorrow, Token of Sorrow
naturesaura:token_euphoria, Token of Euphoria
naturesaura:token_terror, Token of Terror
naturesaura:token_rage, Token of Rage
naturesaura:token_grief, Token of Grief
naturesaura:ender_access, Ender Ocular
naturesaura:cave_finder, Staff of Shadows
skyresources:cactusfruitneedle, Cactus Fruit On A Needle
skyresources:compressedcoalblock, Hardened Coal Block
skyresources:sandynetherrack, Sandy Netherrack
skyresources:coalinfusedblock, Alchemical Coal Block
skyresources:darkmatterblock, Dark Matter Block
skyresources:lightmatterblock, Light Matter Block
skyresources:blazepowderblock, Blaze Powder Block
skyresources:petrifiedwood, Petrified Wood
skyresources:alchemicalglass, Alchemical Glass
skyresources:petrifiedplanks, Petrified Wood Planks
skyresources:magmafiedstone, Magmafied Stone
skyresources:heavysnow, Heavy Snow
skyresources:darkmatterwarper, Dark Matter Warper
skyresources:endportalcore, End Portal Core
skyresources:rockcrusher, Rock Crusher
skyresources:rockcleaner, Rock Cleaner
skyresources:combustioncollector, Combustion Collector
skyresources:combustioncontroller, Smart Combustion Controller
skyresources:quickdropper, Quick Dropper
skyresources:lifeinfuser, Life Infuser Core
skyresources:lifeinjector, Life Injector
skyresources:minifreezer, Mini Freezer
skyresources:ironfreezer, Iron Freezer
skyresources:lightfreezer, Light Matter Freezer
skyresources:crucible, Crucible
skyresources:wildlifeattractor, Wildlife Attractor
skyresources:fluiddropper, Fluid Dropper
skyresources:crucibleinserter, Crucible Inserter
skyresources:aqueousconcentrator, Aqueous Concentrator
skyresources:aqueousdeconcentrator, Aqueous Deconcentrator
skyresources:drycactus, Dehydrated Cactus
skyresources:silverfishdisruptor, Lepisma Saccharina Teleportation Disruptor
skyresources:dirtfurnace, Dirt Furnace
skyresources:fusiontable, Alchemical Fusion Table
skyresources:casing:0, Wooden Casing
skyresources:casing:1, Stone Casing
skyresources:casing:2, Bronze Casing
skyresources:casing:3, Iron Casing
skyresources:casing:4, Steel Casing
skyresources:casing:5, Electrum Casing
skyresources:casing:6, Nether Brick Casing
skyresources:casing:7, Lead Casing
skyresources:casing:8, Manyullyn Casing
skyresources:casing:9, Signalum Casing
skyresources:casing:10, End Stone Casing
skyresources:casing:11, Enderium Casing
skyresources:casing:12, Dark Matter Casing
skyresources:casing:13, Light Matter Casing
skyresources:casing:14, Osmium Casing
skyresources:casing:15, Refined Obsidian Casing
skyresources:alchemyitemcomponent:0, Cactus Needle
skyresources:alchemyitemcomponent:1, Crystal Shard
skyresources:alchemyitemcomponent:2, Primus Alchemical Dust
skyresources:alchemyitemcomponent:3, Secundus Alchemical Dust
skyresources:alchemyitemcomponent:4, Tertius Alchemical Dust
skyresources:alchemyitemcomponent:5, Quartus Alchemical Dust
skyresources:alchemyitemcomponent:6, Alchemical Coal
skyresources:alchemyitemcomponent:7, Alchemical Gold Ingot
skyresources:alchemyitemcomponent:8, Alchemical Iron Ingot
skyresources:alchemyitemcomponent:9, Alchemical Gold Needle
skyresources:alchemyitemcomponent:10, Alchemical Diamond
skyresources:orealchdust:0, Iron Alchemical Ore Dust
skyresources:orealchdust:1, Gold Alchemical Ore Dust
skyresources:orealchdust:2, Copper Alchemical Ore Dust
skyresources:orealchdust:3, Tin Alchemical Ore Dust
skyresources:orealchdust:4, Silver Alchemical Ore Dust
skyresources:orealchdust:5, Zinc Alchemical Ore Dust
skyresources:orealchdust:6, Nickel Alchemical Ore Dust
skyresources:orealchdust:7, Platinum Alchemical Ore Dust
skyresources:orealchdust:8, Aluminum Alchemical Ore Dust
skyresources:orealchdust:9, Lead Alchemical Ore Dust
skyresources:orealchdust:10, Cobalt Alchemical Ore Dust
skyresources:orealchdust:11, Ardite Alchemical Ore Dust
skyresources:orealchdust:12, Osmium Alchemical Ore Dust
skyresources:orealchdust:13, Draconium Alchemical Ore Dust
skyresources:orealchdust:14, Titanium Alchemical Ore Dust
skyresources:orealchdust:15, Tungsten Alchemical Ore Dust
skyresources:orealchdust:16, Chrome Alchemical Ore Dust
skyresources:orealchdust:17, Iridium Alchemical Ore Dust
skyresources:orealchdust:18, Boron Alchemical Ore Dust
skyresources:orealchdust:19, Lithium Alchemical Ore Dust
skyresources:orealchdust:20, Magnesium Alchemical Ore Dust
skyresources:orealchdust:21, Mithril Alchemical Ore Dust
skyresources:orealchdust:22, Yellorium Alchemical Ore Dust
skyresources:orealchdust:23, Uranium Alchemical Ore Dust
skyresources:orealchdust:24, Thorium Alchemical Ore Dust
skyresources:condenser:0, Wooden Condenser
skyresources:condenser:1, Stone Condenser
skyresources:condenser:2, Bronze Condenser
skyresources:condenser:3, Iron Condenser
skyresources:condenser:4, Steel Condenser
skyresources:condenser:5, Electrum Condenser
skyresources:condenser:6, Nether Brick Condenser
skyresources:condenser:7, Lead Condenser
skyresources:condenser:8, Manyullyn Condenser
skyresources:condenser:9, Signalum Condenser
skyresources:condenser:10, End Stone Condenser
skyresources:condenser:11, Enderium Condenser
skyresources:condenser:12, Dark Matter Condenser
skyresources:condenser:13, Light Matter Condenser
skyresources:condenser:14, Osmium Condenser
skyresources:condenser:15, Refined Obsidian Condenser
skyresources:alchemy:0, Wooden Alchemy Component
skyresources:alchemy:1, Stone Alchemy Component
skyresources:alchemy:2, Bronze Alchemy Component
skyresources:alchemy:3, Iron Alchemy Component
skyresources:alchemy:4, Steel Alchemy Component
skyresources:alchemy:5, Electrum Alchemy Component
skyresources:alchemy:6, Nether Brick Alchemy Component
skyresources:alchemy:7, Lead Alchemy Component
skyresources:alchemy:8, Manyullyn Alchemy Component
skyresources:alchemy:9, Signalum Alchemy Component
skyresources:alchemy:10, End Stone Alchemy Component
skyresources:alchemy:11, Enderium Alchemy Component
skyresources:alchemy:12, Dark Matter Alchemy Component
skyresources:alchemy:13, Light Matter Alchemy Component
skyresources:alchemy:14, Osmium Alchemy Component
skyresources:alchemy:15, Refined Obsidian Alchemy Component
skyresources:heat:0, Wooden Heat Component
skyresources:heat:1, Stone Heat Component
skyresources:heat:2, Bronze Heat Component
skyresources:heat:3, Iron Heat Component
skyresources:heat:4, Steel Heat Component
skyresources:heat:5, Electrum Heat Component
skyresources:heat:6, Nether Brick Heat Component
skyresources:heat:7, Lead Heat Component
skyresources:heat:8, Manyullyn Heat Component
